Name,Location,Latitude,Longitude,CI_cyano(CyAN),CI_cyano(S3),CI_cyano(PACE)
pin_72,Lake Erie,41.712787,-83.218129,0.00672545,0.005195849,0.005502932
pin_73,Lake Erie,41.725101,-83.1935,0.014703726,0.012945198,0.015446055
pin_74,Lake Erie,41.737416,-83.168872,0.035808772,0.026695667,0.015446055
pin_75,Lake Erie,41.74973,-83.144243,0.031290997,0.024699846,0.020897998
pin_76,Lake Erie,41.762044,-83.107301,0.016378848,0.016015198,0.01695624
pin_77,Lake Erie,41.774358,-83.082672,0.005568311,0.004200749,0.004353645
pin_78,Lake Erie,41.786672,-83.070358,0.002413178,0.00300647,0.003248208
pin_79,Lake Erie,41.798987,-83.058044,2.87E-04,3.37E-04,0.001658086
pin_80,Lake Erie,41.811301,-83.033415,0.001485038,0.001898835,0.001264501
pin_81,Lake Erie,41.688159,-83.242757,0.003520346,0.002480802,0.002621736
pin_82,Lake Erie,41.700473,-83.218129,0.005135483,0.00273403,0.003341662
pin_83,Lake Erie,41.712787,-83.181186,0.008123056,0.004720414,0.005548935
pin_84,Lake Erie,41.725101,-83.156558,0.021449808,0.016248358,0.008865543
pin_85,Lake Erie,41.737416,-83.131929,0.017286673,0.011042067,0.014199454
pin_86,Lake Erie,41.737416,-83.107301,0.004487572,0.00716792,0.011005235
pin_87,Lake Erie,41.74973,-83.082672,0.013560802,0.016039707,0.007122029
pin_88,Lake Erie,41.762044,-83.058044,0.004368149,0.00327244,0.00653393
pin_89,Lake Erie,41.774358,-83.04573,0.002994342,0.001746729,0.001759029
pin_90,Lake Erie,41.725101,-83.119615,0.004998818,0.003406905,0.008865543
pin_91,Lake Erie,41.712787,-83.156558,0.009048475,0.00586715,0.005125965
pin_92,Lake Erie,41.712787,-83.168872,0.010079325,0.005744804,0.005548935
pin_93,Lake Erie,41.762044,-83.021101,0.003715466,0.004015128,0.002461479
pin_94,Lake Erie,41.737416,-83.033415,0.00361659,0.002186519,0.002461832
pin_95,Lake Erie,41.725101,-83.058044,0.002616564,0.00225642,0.002905661
